Question,Cognitive_Category,,,,
 Among development phases of software life cycle, which phase typically consumes the maximum effort? a) Requirements analysis and specification b) Design c) Coding d) Testing ,,,,
Prototyping life cycle model is the most suitable one for undertaking a software development project susceptible to schedule slippage.,Remember,,,,
In the object-oriented design, the basic abstraction is real-world functions.,Remember,,,
DFDs enable a software engineer to develop the data domain and functional domain decomposition of the system at the same time.,Remember,,,,
For any given problem, one should construct all the views using all the diagrams provided by UML.,Remember,,,
The Aggregation relationship can be recursively defined, i.e. an object can contain instances of itself.,Remember,,,
Differentiate between the exploratory style and modern styles of software development.,Understand,,,,
a.       Explain the problems that might be faced by an organization if it does not follow any software life cycle model.,Understand,,,,
b.      Identify the necessity of using formal specification technique in the context of requirements specification.,Remember,,,,
a.       Explain the use of operational semantic. ,Understand,,,,
b.      What does the term “balancing a DFD” mean? Give an example to explain your answer.,Understand,,,,
c.       What is meant by design patterns?,Remember,,,,
a.       Differentiate among different types of objects that are identified during domain analysis and also explain the relationships among those identified objects.,Understand,,,,
b.      Discuss the types of user interfaces,Understand,,,,
c.       Explain the architecture of the X window system.,Understand,,,,
a.       What do you mean by coding?  Identify the necessity of coding standards.,Remember,,,,
b.      Explain unit testing.,Understand,,,,
c.       What is meant by a task model? Explain it with examples.,Understand,,,,
a.       List and explain the different types of system testing.,Understand,,,,
b.      Explain the various types of performance tests that can be performed to check whether the system meets the non-functional requirements identified in the SRS document.,Evaluate,,,,
a.       List and explain three common types of risks that a typical software project might  suffer from.,Remember,,,,
Explain how you can identify the risks that your project is susceptible to. Suppose you are the project manager of a large software development project point out the main steps you would follow to manage risks in your software project.,Analyze,,,,
c.       Explain the necessity of software configuration management?,Understand,,,,
